address,categories,city,country,name,reviews.rating,reviews.text
2707 Veterans Ave,"Travel & Transport,Hotels,Hotels & Motels",Vandalia,US,Ramada Vandalia,3,"Hotel staff was great! Night manager Cassie was awesome!!! Only complaint was rooms fridge wouldn't cool but,had the best bed i'very slept on in a Hotel anywhere. Good place to stay!"
1700 Skibo Rd,Hotels,Fayetteville,US,Hampton Inn Fayetteville Fort Bragg,4,We stayed at this hotel on our way to FL. The room was clean and staff friendly. The beds were comfortable. The included breakfast served its purpose and had plenty of options for our family. Definitely recommend this place over the Days Inn next door where some questionable activities were going on.
2759 Mcdonald Rd,"Extended Stay,Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Beach Hotels,Lodging,Weekend Getaway Hotels,Tourist Hotels",Tyler,US,Staybridge Suites Tyler University Area,4,"upgraded to two bedroom, two bathroom suite!"
55 Ok St,"Hotels,Lodging,Hotel,Motels",Bisbee,US,Eldorado Suites Hotel,4,"The Eldorado Suites has comfortable well supplied suites for a quick or longer visit. Situated just above one of the the main streets and within a very short walk for restaurants, mine tour, museums, and bars. Lynn was very helpful in getting us into our room and directing us to various activities and restaurants."
741 E Washington St,"Cocktail Lounges,Restaurants,Hotels,Casinos,Lodging,Hotels Motels,Motels",Charles Town,US,Turf Motel,3,"Actually, we were relieved to find the room pretty decent considering it is only one of the 2 or 3 hotels/motels in Charlestown. Our room was in the detached block and I believe the rooms in the main block may have been better. For the one night we stayed there and went to the Casino, it was good. No complaints.... More"
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,Good price. Comfortable. Only negative was the street was very torn up in construction at the time we stayed.
101 Travel Center Blvd,"Resorts & Vacation Cottages,Hotels,Hotels & Motels,Accommodations & Lodging,Inns,Vacation Packages",Dublin,US,La Quinta Inn & Suites Dublin,5,"This property is gorgeous, incredibly well run and above expectations. Cleanliness is spot on, decor is classy current. Felt like I was in a Hyatt or Westin. Breakfast was delicious, eggs, sausage, bacon, biscuits, grits, cereals, fresh fruits, waffles, wide selection of pastries, lovely separate dining area. Hot fresh cookies at pm was a classy above the norm touch.... More"
1112 Highway 321 N,"Banquet Rooms,Reception Centers,Lodging,Hotels & Motels,Beach Hotels,Budget Hotels,Business Hotels,Family-Friendly Hotels,Tourist Hotels,Weekend Getaway Hotels,Wedding Sites",Lenoir City,US,Holiday Inn Express & Suites Lenoir City (knoxville Area),3,"Spent one night as a stopover during a long road trip. It was clean and neat with a very pleasant staff but I was not impressed. On the outside this looks like the new Holiday Inn Express properties that we've become accustomed to. Unfortunately it was not ! This was a renovated property with very old mattresses, washed out towels,... More"
3917 Ridgemont Dr,Hotels,Abilene,US,Hampton Inn Abilene,4,I wanted privacy and peace and quiet and I got it!
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,everyone here has been beyond nice and generous - get robert to drive you and if you are nice the security guy will give you some extra pool time after  11!  cookies and a great pool = amazing
4691 Castleton Way,Hotels,Castle Rock,US,Days Inn & Suites Castle Rock,4,There was nothing wrong. Nothing fancy but a good place to spend the night.
1700 Skibo Rd,Hotels,Fayetteville,US,Hampton Inn Fayetteville Fort Bragg,4,I .disappointed that I did not receive our 2 rooms connected for my Mom and I as I requested. At the hotel they were not informed of my request and said they could do nothing about it. I will not use Hotel.com again
55 Ok St,"Hotels,Lodging,Hotel,Motels",Bisbee,US,Eldorado Suites Hotel,4,"We spent our anniversary at the Eldorado Suites Hotel and were very surprised at the spaciousness of the room. It was truly a suite with a separate bedroom, kitchen and living area with a private veranda. It would be a great savings for a two or more couples or a family with children. Everything was clean and very well maintained.... More"
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,"This is a wonderful getaway, Hilton quality, great location, friendly staff. The bedding was super nice, room was immaculate, pool and hot tub were very warm, and it was nice and quiet. I normally don't sleep much in a hotel, but ended up sleeping 10 hours straight! Was here for business, but will be bringing my hubby for a nice weekend. Loads of great places to visit in downtown Bay City within walking distance. We live just 60 miles away, but its like a vacation to experience the Hilton touches, and Bay City has lots to offer for dining, entertainment and shopping."
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,We were only here for one night but we will be back. The staff in every part of the hotel were great. When we checked in they accommodated our needs. Then we had a nice dinner and sat out for a few drinks on the patio overlooking the river. It was fantastic. I wish we were here for at least... More
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,"Nice, convenient hotel. Staff was very nice and the breakfast was good. The only problem was that New Orleans law allows guests to smoke in the courtyard around the pool. This is NON SMOKING hotel but their silly law allows guests to smoke around the pool in the center courtyard without any regard to other guests. All the rooms circle... More"
3917 Ridgemont Dr,Hotels,Abilene,US,Hampton Inn Abilene,5,"I have family in town so I've stayed in just about every hotel in Abilene. I am so glad I stayed here! Random shot, but it will be my go to place to stay from here on out. The hotel is older but it is maintained well and kept exceptionally clean. I was greeted with a smile (and a bottle... More"
139 Days Inn Dr,"Hotels,Lodging,Hotel,Motels",Kuttawa,US,Days Inn Kuttawa,5,This was an excellent location for us. The room was clean and had a comfortable bed. Breakfast was ok. Check in and out was with the same lady who was very pleasant.
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,3,"The room smelled horrible...like stale cigarette smoke and mold. Other than the smell, they gave me the handicapped room with a shower that floods the floor. Besides these 2 things, the room was fine. I will never stay here again."
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,5,My girlfriend and I visited Waterville Maine for my birthday and to see some of my family. Was one of the most relaxing vacations I've been on. This hotel is great with a relaxing hot tub and spacious rooms. Don't forget the great Ice cream next door at friendlys. I would recommend this hotel to any of my friends looking for a cheap getaway.
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,5,Excellent free breakfast friendly staff.
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,4,"As one would expect of a Hilton location, the room was well kept, updated and clean. The entire hotel was 'quality', except for the maid service. we stayed there five days. We used a bath towel the second day and left it lying across the top of the microwave. Three days passed without the maid picking it up and replacing... More"
4691 Castleton Way,Hotels,Castle Rock,US,Days Inn & Suites Castle Rock,2,"Extremely disappointed in the condition, cleanliness, comfort of hotel and hotel room. The staff were exceptional. I feel bad that such great employees must work for such a poor establishment. Hotel employees and guest deserve much better. Will never recommend Days Inn or stay at Days Inn ever again!"
442 Walker Bay Blvd,Hotels,Walker,US,Country Inn Walker,5,We stayed one night. Check in was fast and smooth. Everyone was nice. We will stay there again and we do recommend it.
101 Travel Center Blvd,"Resorts & Vacation Cottages,Hotels,Hotels & Motels,Accommodations & Lodging,Inns,Vacation Packages",Dublin,US,La Quinta Inn & Suites Dublin,2,"There was an unruly guest above us, with 14- that's correct, 14 children running around all night. Attempts by the night attendant to quiet them failed, and we were moved in the middle of the night. The young lady told us that she could not phone the police on this guest, for THEY might rate them poorly. Forget the other... More"
1512 Central Blvd,"Guide Service,Hotels,Resorts",Bull Shoals,US,Mar Mar Resort Tackle,4,"Phil and Benicia are the best hosts ever. Ladder Ball in the court yard was a blast. Convenient to the lake, liquor store, breakfast, dollar general, bank, pizza, laundry. And, if you ask, a lunch can be prepared for your day trip. BigPhilsGuides.com is located here, too. They are both knowledgeable about the area, so you can get to the... More"
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,5,"I checked out of an Extended Stay in a rush and didn't have many options. I would say I was thoroughly impressed seeing how this was the cheaper of hotels next to the airport. It isn't the best hotel I've ever stayed at but being last minute it is a 5 star compared to what I left. I don't ask for much, relative quietness, clean and a working AC. They made the marks in all departments on top of the bed being extremely comfortable. They do have shuttles to the airport. The breakfast options isn't huge, but you are right next to the outdoor mall with a Cracker Barrel if you are a breakfast person. Only downfall I say is the shower heads need to be upgraded. I would definitely stay here again!"
2007 N Expy,Hotels,Griffin,US,Baymont Inn & Suites Griffin,5,"staff was way out of their description to accommodate my family, even offered a group rate, when entire family arrived, even though no reservations were made, due to the nature of our visit to the city, to support our relatives their in time of bereavement. The breakfast was prepared hot and on time, and once again, the staff displayed no signs of stress and disgust... almost certain, that it was my best hotel experience ever received, even more so, than over the top hotels!"
345 Chestnut St,"Hotel,Hotels",Morgantown,US,The Chestnut Boutique Hotel,4,We booked via the phone as you are unable to book online. The room was large but very dimly lit. Lovely and clean and we had a view of the petrol station at the back. If you check on FB they have some offers and we paid 99 for the night. There is a car park attached to the hotel... More
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,5,The hotel is very nice and well maintained. The rooms were a bit small but not an issue for me. The breakfast was pretty yummy and it was very convenient to have a bar at the hotel (something to do while my friends finished some work). I will definitely recommend this place!
301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,Cambria Hotel & Suites,5,"Our stay was fabulous. The hotel was beautiful and staff very friendly and helpful. The price compared to other hotels in the area was outstanding! Would definitely stay here again. Loved out stay! Asked for a late check out and was given an hour at no charge. Room clean, pool and fitness were nice. Did not eat at the hotel... More"
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,5,This hotel was extremely clean and staff was excellent and friendly. Would highly recommend friends to stay here. Plan on returning. Hope it stays as is. There is nothing to improve. Even let your four-legged friends stay. Wonderful hotel and state!!!
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,3,This hotel is located right off the highway. Check in was a little off to the right. I thought the entrance should have been located closer to the check in area. Instead it was in between the hotel and connected function facility.Pros: The room was clean & comfortable. Check out is at NoonCons: The door would not close by itself & the water in the shower backed up.
2700 S Country Club Rd,Hotels,El Reno,US,Days Inn El Reno Ok,1,"The hotel was easy off and on the highway, and reasonably priced, which were our main points for selection. The night clerk was very helpful for our issue. But that doesn't outweigh the huge negative of finding a condom wrapper between the sheets with suspicious spots on the blanket, which led us to believe they had not been changed from a prior guest. Upon my request, both were replaced and we were offered a different room, but inspection of this room included holes in both the sheets and blanket. Disgusting. If I hadn't booked on line I would have insisted on my money back. We would never recommend this hotel to anyone!"
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,4,"overall an 8, breakfast was acceptable (better last few times before) upgraded cable service would make stay much better. matress on both double beds on third floor way too soft but had no problems with 1st ir second floors at earlier stays."
105 Melcon Ln,"Hotels & Motels,Lodging,Hotels And Motels",London,US,Econo Lodge,3,The place is clean and the breakfast is OK continental. The towels are very thin. They need to get new towels. I could feel the springs on the bed but it was comfortable enough. The price is good. There are a lot of TV Channels but it is older tube type set which is OK. They cater to truck drivers'... More
200 Second St,"Hotel,Hotels",Saint Mary,US,White Cliff Manor Bed and Breakfast,5,"One of the reasons that we love staying in Bed and Breakfasts is that they are all unique and special in their own way. This one is marvelous in that few places have such passionate owners, and such exceptional service. Brian is a fabulous, welcoming host...we now feel part of the family who has shared this historic home. Even in... More"
1700 Skibo Rd,Hotels,Fayetteville,US,Hampton Inn Fayetteville Fort Bragg,3,Sam Room 303 - the staff were responsive and friendly. Manager's special on Tuesday and Wednesday a nice touch. The hotel layout is awkward and details are rough around the edges. Good tv options and modesty comfortable bed. The Room was small and air conditioner loud. Most frustrating was the shower had hot water but the sink have nothing but... More
165 Saint Emanuel St,"Hotels,Bed & Breakfasts,Hotels & Motels,Lodging,Bed & Breakfast & Inns,Motels",Mobile,US,Fort Conde Inn,5,"We only stayed one night, but wish it could have been longer. Everything was perfect. The detail in the romantic rooms is exquisite and true to the historic building. Little expense was spared. Our room, the Margaret, had a huge bathroom with a great tub and big shower. We had seafood Eggs Benedict for breakfast, which was great as well.... More"
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,4,Very courteous staff Girl at front desk could smile a little bit A little abrupt However overall pleasant stay. Breakfast was very good Thankyou
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,2,"The hotel was booked and we were on an Honors Floor. However, the toilet was clogged and no one was available to remedy this situation. However, Patricia, the sold person on front desk duty, brought us a plunger. My husband was able to clear it, but every time we had to use the toilet we had to plunge it! Needless... More"
2625 Constitution Dr,Hotels,Livermore,US,Comfort Inn Livermore,1,The refrigerator was not working and dirty. I found cochroaches The faucet of bathtub was broken. The room has unfavorable odor.
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,5,I would recommend this hotel to family and friends. All the staff was friendly and helpful. The hotel was clean and decorated very well. I loved the courtyard with the trees and beautiful flowerbeds. It is the perfect place to have a picnic lunch. The saltwater pool was great and very relaxing. I really enjoyed my stay and plan to... More
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,2,"Less than expected. Not impressed,..pictures online are deceiving. Wide angled lense shots to make room look bigger. It's a shoe box. Bigger than a salt box but not by much! If I wasn't careful I could knock my knees against the a/c unit. About a foot of space between a/c unit on one side and wall on other. Tiny. Front entrance and food area is just as misleading. My husband was fixing coffee and I saw a baby roach come out from sugar packet area and went under coffee machine. Don't expect a lot. It is truly NO FRILLS."
8040 Oliver Rd,"Hotel,Hotels",Erie,US,Solstice,4,there for weekend with Soccer tournament- very convenient location for fields and restaurants. Staff was friendly - I have read reviews that people said this place is gross etc- not sure where they stayed - but the rooms that I saw from friends- were all more than fine- and spacious. My kind suite with Jacuzzi was great. Only issue is... More
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,3,"We had room 85 but the way the guy wrote it, it looked like 86 so we went to 86 and opened the door with our 85 key. Imagine our surprise!!! the lady in the room was half naked when we opened the door. How is it possible that our room key opens another right Scary to say the least.... More"
703 S Negley Ave,"Bed & Breakfasts,Weekend Getaway Hotels,Hotels & Motels,Hotels",Pittsburgh,US,The Inn On Negley,5,Want to have a fancy yet utterly relaxing afternoon Try the high tea. Every time you feel so pampered and the quality of food and tea is simply amazing. I actually prefer this to the high teas I have done in NYC. My parents have stayed overnight and say it is the best stay in a hotel or bb they... More
8040 Oliver Rd,"Hotel,Hotels",Erie,US,Solstice,4,"The check in and check out process was easy and convenient. My biggest complaint would be that the breakfast was low/out of a lot of things, and when we notified the woman at the front desk, she didn't seem to have any concern for it, and then told us that it would take too long for the pancake batter to set."
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,4,"We had two identical suites. Aside from having to figure out that the refrigerators weren't broken, they had been turned off, the rooms were fine. The bed was comfortable, the towels plentiful, the desk spacious enough for a laptop. The free wifi worked well. The breakfast was pretty standard fare with fresh fruit, yogurt, hot oatmeal, a waffle maker, cupcakes,... More"
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,"Hotel is friendly, very clean, stylish lobby and accommodating. This would make a great Wedding Venue. Room Service is quick and offers a decent amount of choices even late night. Quick check out email option."
4691 Castleton Way,Hotels,Castle Rock,US,Days Inn & Suites Castle Rock,4,short stay didn't have much time.
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,We caught the best weather and best fall foliage imaginable. PTL
2759 Mcdonald Rd,"Extended Stay,Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Beach Hotels,Lodging,Weekend Getaway Hotels,Tourist Hotels",Tyler,US,Staybridge Suites Tyler University Area,4,"Overall, this is the best Staybridge I have seen. The room was immaculate with no smells. The courtyard was a great place to go hang out. The free breakfast was very good, and they even serve free beer on some evenings! The pool needed to be cleaned, which is the only reason this did not receive 5 stars. If in... More"
2007 N Expy,Hotels,Griffin,US,Baymont Inn & Suites Griffin,5,Spotlessly clean great staff and awesome breakfast!!!i the beds are so nice you don't want to get up! Towels are all fluffy and the pool is clear as still water!! They even mop the sidewalks!!! The grounds are flawless and manicured. Worth the stay anytime!! Love the place.
16530 Northcross Dr,Hotels,Huntersville,US,Candlewood Suites Huntersville,5,We were in town for a bowling tournament and this hotel was right around the corner from the bowling center. Location was convenient room was spacious love the kitchen area with a FULL size refrigerator and microwave. Suite had a separate bedroom (which means you can close the door for privacy). Used the fitness center and bought an item from the small convenience store area they have. Would stay again if back in the area. Highly recommend! Great staff also.
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,2,"From the outside this appears to be a newer property, however the rooms were both worn and dirty. The light in my bathroom would not turn off, the rugs had not been vacuumed and the bed was way past it's useful life. The two co workers traveling with me expressed similar concerns, so this appears to be more than just a problem with one room."
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,3,"Room was clean and comfy beds, close to airport with free shuttle. Free breakfast was just ok...cereal, juice, bagels, muffins, tea coffee.....not very much seating though. Return shuttle to airport was busy due to cruise ship pax. Reception staff were pleasant."
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,Clean hotel with friendly staff.
380 W 7200 S,Hotels,Midvale,US,Discovery Inn,3,Checked in late to a hot stuffy room. Came down near the end of breakfast to very little food stuff.
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,5,"We went for our grandson 1st birthday and had a great time. The hotel is clean and the staff is very friendly. Even though I only had breakfast one of the 5 days we stayed, it is nice to be able to just come down for a bite without having to rush your morning. I'll be glad to return in... More"
7653 N Owasso Expy,"Hotels,Hotel",Owasso,US,Best Western Owasso Inn & Suites,4,"Room was clean and pleasant. Location is within minutes of a variety of eating venues. Staff at desk and maid service was both friendly and efficient. Everyone was helpful. It was not a resort quality room, but clean and a great bargain."
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,2,"We went to Tidewater Inn again this year, as we have for the last 18 years. I made our reservations for 3 rooms but was not told the hot tub was not in use. We were totally disappointed when we went to check out the pool and hot tub to find it was empty. If we knew this before hand... More"
10 Calle Y Avenida Circunvalacion,"Hotel,Hotels",Annapolis,US,Hilton Princess San Pedro Sula,5,Had a group of 20+ people at the Hilton Princess for 3 nights and without a single exception every person in our group had a great experience. The staff is very friendly and went above and beyond to take great care of our group. I came down with the flu and spent 2 whole days in my room. The staff... More
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,3,Usually La Quinta is a good chain. I found this one lacking. There was construction going on in the lobby so maybe they are updating I'm not sure. There was an ozone machine running night and day that gave me a headache. The A/C in our room 301 wasn't working correctly. The elevator took FOREVER to run the three floors.... More
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,4,"Perfect place we stayed for 3 night had no regets front desk welcomed us with a warm friendly smile.and the restaurant guys were friendly,kept us entertained,while we having our breakfast.the one great thing is the city center is close by.theres tons of restaurant and night clubs to party at.hey you better check this property its worth a vist."
301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,Cambria Hotel & Suites,5,"The Cambria did an excellent job for our recent meeting. The people that came from out of town enjoyed the hotel. The staff was really pleasant and accommodating. The woman that handled our breakfast, lunch and hospitality was SUPER. She went above and beyond every day."
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,amazing stay wonderful staff.rooms were spacious service was great area around the hotel was very nice well kept.rooms were cleaned everyday.if we ran out of things in our room we just had to call.i would recommend this lovely hotel to every one who is traveling to West Palm or anywhere there is a Doubletree
2827 State Route 12b,"Hotel,Hotels",Deansboro,US,Garden Bed and Breakfast,4,"Ethel is a fantastic host! I booked this place for my family of 4 without really seeing any pictures but one. So we were taking a risk but it paid off! Charming room with nice touches everywhere. It has a fridge, a small kitchen and there is a luggage lift to take bags up to the 2nd floor.. The beds... More"
1210 Us 62/65 North,"Hotel,Hotels",Harrison,US,Quality Inn,4,"Good enough for a simple stay. Checkin and checkout was extremely easy. The staff was very nice. Housekeeping had the rooms cleaned. The breakfast was very good, better than expected. The hotel is dated but if you want a basic stay then this is the place. Close to eating establishments"
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,We came up for a baseball tournament and had a great time and comfortable stay.
7550 W State Road 84,Hotels,Fort Lauderdale,US,Extended Stay America - Fort Lauderdale - Davie,5,Check in was easy as i booked from expedia..i just had to sign the form and i had the keys. everything in the room was working fine except the main power switch besides the door and no switch could be located for the table lamp placed nedt to the TV so i had to unscrew the lamp to turn it off and other way around. Rest all was awesome..Checkout was faster too with a lady on the desk in the morning and she was kind too..thank you!
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,2,"This was our 4th trip to Telluride. We typically stay at another property in Mountain Village, but since it was high season (New Year's weekend), our usual spot was booked and we were glad to snag a 1 BR Suite at the Mountain Lodge, as I've wanted to try it. If only I knew... Here's the list of grievances: -The... More"
1700 Eighth St N W,"Hotel,Hotels",Austin,US,Americinn Lodge Suites Austin,3,"We come here every year because it's a great location and close to family. But this year we were totally disappointed in how we were treated by the owner. We were minding our own Business in the large gathering room (that we were given permission to use) near the pool, and we're all of a sudden kicked out by him.... More"
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,5,"Top notch facility, centrally located and accessible to everything. Food is excellent. Staff aims to please, professional and courteous from the cleaning staff to the front desk. Rooms are immaculate and not just when you enter on the first day, it is every day of your stay. I initially have stayed at the facility for business conferences and now I'm... More"
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,3,The room was next to the elevator and the noise was continual. Breakfast is not included with this Hotel and they charge you 20 per day to park!
611 State Route 20,"Hotels,Hotel,Lodging,Bed & Breakfast & Inns,Motels",Winthrop,US,Mt Gardner Inn,5,"We have stayed in numerous places in the Methow Valley over the last 18 years, but we stopped moving around after we found Mt. Gardner Inn. Three years running we have had a wonderful stay. Owners Allison and Greg could not be more friendly and helpful. Rooms are super comfortable. Collection of movies in the lobby cannot be beat! Location... More"
2645 N W Inlet Ave,"Hotels,Lodging,Hotel,Motels",Lincoln City,US,Pelican Shores Inn,4,"Our stay at Pelican Shores this past weekend was overall great. Friendly and professional staff, nice clean room plus a beautiful view of the beach right out our door. The only complaint would be that the complimentary breakfast is light when comparing to other properties with similar amenities and rates."
